region,control,control_detail
Za Bu Thi Ri,junta
Tatkon,junta
Taungdwingyi,disputed
Sinbaungwe,disputed
Thayet,junta
Aunglan,disputed
Pyay,disputed
Paukkhaung,disputed
Paungde,disputed
Thegon,junta
Shwedaung,junta
Nattalin,disputed
Zigon,junta
Gyobingauk,disputed
Okpho,disputed
Pinlaung,rebel
Nyaungshwe,disputed
Taunggyi,junta
Hsihseng,rebel
Kalaw,junta
Pindaya,junta
Ywangan,junta
Myittha,junta
Kyaukse,disputed
Sintgaing,junta
Amarapura,disputed
Aungmyaythazan,junta
Chanayethazan,junta
Mahaaungmyay,junta
Chanmyathazi,junta
Pyigyitagon,junta
Saw,rebel
Pauk,rebel
Seikphyu,disputed
Salin,disputed
Pwintbyu,disputed
Minbu,junta
Magway,disputed
Myothit,junta
Yamethin,junta
Pyawbwe,junta
Thazi,junta
Wundwin,disputed
Mahlaing,disputed
Meiktila,junta
Natmauk,disputed
Yenangyaung,disputed
Chauk,disputed
Kyaukpadaung,junta
Nyaung-U,junta
Taungtha,disputed
Pakokku,rebel
Myaing,rebel
Yesagyo,rebel
Myingyan,rebel
Myaung,rebel
Chaung-U,rebel
Myinmu,rebel
Ngazun,disputed
Tada-U,disputed
Natogyi,rebel
