name,code,treaty_status
Brunei Darussalam,BRN,ratified
Cambodia,KHM,ratified
Indonesia,IDN,ratified
Lao People's Democratic Republic,LAO,ratified
Malaysia,MYS,ratified
Myanmar,MMR,ratified
Philippines,PHL,ratified
Singapore,SGP,ratified
Thailand,THA,ratified
Viet Nam,VNM,ratified
