name,code,treaty_status
Australia,AUS,ratified
Australia,COK,ratified
Australia,FJI,ratified
Australia,KIR,ratified
Australia,NRU,ratified
Australia,NZL,ratified
Australia,NIU,ratified
Australia,PNG,ratified
Samoa,WSM,ratified
Solomon Islands,SLB,ratified
Tonga,TON,ratified
Tuvalu,TUV,ratified
Vanuatu,VUT,ratified
